iter	Passed	Remaining
0	337	3378278
1	658	3294207
2	946	3152670
3	1221	3051678
4	1508	3014964
5	1776	2959672
6	2009	2868034
7	2314	2891217
8	2625	2914290
9	2941	2938144
10	3283	2982161
11	3553	2957849
12	3909	3003407
13	4205	2999402
14	4506	3000118
15	4775	2980059
16	5034	2956532
17	5309	2944664
18	5538	2909427
19	5846	2917462
20	6093	2895428
21	6386	2896792
22	6677	2896609
23	7065	2936779
24	7369	2940620
25	7706	2956245
26	7990	2951329
27	8240	2934830
28	8524	2931054
29	8831	2934984
30	9145	2941025
31	9453	2944917
32	9748	2944424
33	9969	2922106
34	10242	2916318
35	10574	2926656
36	10878	2929260
37	11147	2922510
38	11387	2908381
39	11677	2907792
40	12002	2915522
41	12243	2902814
42	12487	2891693
43	12726	2879741
44	12970	2869447
45	13255	2868478
46	13531	2865417
47	13801	2861538
48	14071	2857687
49	14360	2857747
50	14639	2855877
51	14963	2862631
52	15191	2851130
53	15427	2841594
54	15670	2833424
55	15948	2832080
56	16183	2823038
57	16450	2819912
58	16689	2812089
59	16939	2806277
60	17161	2796185
61	17417	2791928
62	17652	2784380
63	17921	2782377
64	18180	2778823
65	18436	2775005
66	18685	2770124
67	18947	2767519
68	19226	2767224
69	19508	2767439
70	19774	2765321
71	20014	2759813
72	20257	2754706
73	20502	2750137
74	20760	2747359
75	21017	2744471
76	21274	2741674
77	21599	2747592
78	21846	2743582
79	22085	2738606
80	22332	2734794
81	22592	2732645
82	22841	2729138
83	23128	2730224
84	23385	2727794
85	23615	2722328
86	23859	2718665
87	24140	2719056
88	24395	2716669
89	24624	2711469
90	24868	2707882
91	25106	2703888
92	25394	2705235
93	25703	2708660
94	25947	2705383
95	26299	2713198
96	26554	2710984
97	26822	2710145
98	27065	2706801
99	27371	2709819
100	27612	2706302
101	27869	2704480
102	28212	2710878
103	28541	2715804
104	28789	2713033
105	29034	2710093
106	29279	2707136
107	29598	2710977
108	29836	2707476
109	30124	2708474
110	30355	2704370
111	30600	2701621
112	30855	2699729
113	31177	2703648
114	31442	2702651
115	31695	2700717
116	31954	2699183
117	32199	2696597
118	32411	2691279
119	32684	2691010
120	32909	2686873
121	33120	2681698
122	33396	2681805
123	33687	2683070
124	33937	2681032
125	34287	2686940
126	34578	2688176
127	34807	2684496
128	35069	2683501
129	35327	2682141
130	35589	2681199
131	35883	2682598
132	36107	2678743
133	36357	2676855
134	36616	2675729
135	36863	2673716
136	37101	2671071
137	37357	2669741
138	37603	2667712
139	37856	2666184
140	38119	2665383
141	38342	2661800
142	38586	2659770
143	38869	2660406
144	39126	2659282
145	39386	2658295
146	39620	2655669
147	39877	2654551
148	40151	2654596
149	40401	2653063
150	40650	2651460
151	40903	2650089
152	41177	2650144
153	41484	2652284
154	41815	2655984
155	42120	2657930
156	42403	2658475
157	42677	2658440
158	42949	2658299
159	43247	2659737
160	43496	2658177
161	43791	2659398
162	44053	2658640
163	44337	2659187
164	44589	2657806
165	44842	2656521
166	45103	2655733
167	45339	2653451
168	45606	2653022
169	45979	2658675
170	46283	2660333
171	46553	2660029
172	46786	2657630
173	47068	2658003
174	47355	2658668
175	47613	2657704
176	47832	2654588
177	48126	2655607
178	48350	2652770
179	48580	2650310
180	48836	2649314
181	49092	2648272
182	49345	2647145
183	49671	2649863
184	49957	2650471
185	50279	2652913
186	50572	2653847
187	50812	2652001
188	51059	2650506
189	51339	2650760
190	51654	2652793
191	51945	2653549
192	52222	2653624
193	52504	2653916
194	52825	2656171
195	53131	2657637
196	53512	2662842
197	53904	2668539
198	54341	2676401
199	54694	2680044
200	55080	2685261
201	55405	2687433
202	55698	2688065
203	55947	2686556
204	56324	2691223
205	56628	2692307
206	56958	2694670
207	57250	2695196
208	57576	2697258
209	57838	2696364
210	58051	2693204
211	58334	2693274
212	58630	2693994
213	58886	2692822
214	59169	2692914
215	59389	2690108
216	59666	2689932
217	59916	2688555
218	60143	2686125
219	60362	2683372
220	60604	2681701
221	60832	2679364
222	61070	2677520
223	61317	2676060
224	61588	2675685
225	61860	2675318
226	62212	2678412
227	62483	2678027
228	62750	2677454
229	63003	2676279
230	63273	2675818
231	63516	2674272
232	63750	2672324
233	64011	2671533
234	64252	2669913
235	64491	2668178
236	64787	2668880
237	65035	2667566
238	65394	2670763
239	65627	2668859
240	65873	2667475
241	66131	2666574
242	66507	2670432
243	66840	2672509
244	67079	2670870
245	67338	2669987
246	67635	2670633
247	67944	2671746
248	68220	2671574
249	68540	2673086
250	68881	2675413
251	69157	2675194
252	69495	2677370
253	69827	2679271
254	70223	2683624
255	70512	2683886
256	70827	2685096
257	71104	2684889
258	71385	2684807
259	71647	2684043
260	71950	2684766
261	72296	2687112
262	72581	2687179
263	72851	2686663
264	73159	2687564
265	73455	2688028
266	73768	2689081
267	74011	2687613
268	74302	2687859
269	74648	2690093
270	74953	2690842
271	75212	2689940
272	75502	2690172
273	75834	2691832
274	76113	2691662
275	76412	2692146
276	76733	2693437
277	77010	2693157
278	77303	2693448
279	77593	2693596
280	77896	2694231
281	78191	2694540
282	78473	2694456
283	78750	2694137
284	79042	2694370
285	79362	2695539
286	79696	2697201
287	79982	2697172
288	80275	2697411
289	80583	2698143
290	80851	2697535
291	81183	2699082
292	81492	2699835
293	81809	2700839
294	82102	2701038
295	82369	2700397
296	82688	2701423
297	82961	2700970
298	83257	2701287
299	83550	2701450
300	83860	2702209
301	84143	2702061
302	84484	2703778
303	84826	2705530
