iter	F1	Logloss
0	0.4392372135	0.6055078077
1	0.4361348871	0.5708237505
2	0.4363576384	0.5515866212
3	0.4348295927	0.5413618651
4	0.4475377357	0.5345164711
5	0.4531178811	0.5306801635
6	0.4596401028	0.5265344555
7	0.4713235731	0.5232071108
8	0.4722293827	0.5199282405
9	0.4824360555	0.5183786758
10	0.4851955743	0.5172132286
11	0.4878721916	0.515766382
12	0.4906450144	0.5144704826
13	0.4938814476	0.5136949882
14	0.4950105574	0.5131174229
15	0.5009039689	0.511869278
16	0.5026244966	0.5114316161
17	0.5020502184	0.5107267108
18	0.5045084587	0.5096866559
19	0.5143299914	0.5081734362
20	0.5151214535	0.5076458893
21	0.5164999056	0.5070047644
22	0.5177503067	0.5066517577
23	0.5198893051	0.5060012133
24	0.5198048707	0.5056950938
25	0.5258110437	0.5040997772
26	0.5258157012	0.5038501909
27	0.5272557095	0.5032141971
28	0.5276157483	0.5029342338
29	0.5278276817	0.50274694
30	0.5283131798	0.5021515188
31	0.5348690321	0.5010719414
32	0.535008176	0.5008109782
33	0.5365188093	0.50021402
34	0.5395629518	0.4996157729
35	0.5406949864	0.4994377767
36	0.5399570036	0.4991560804
37	0.5403300575	0.4988870389
38	0.5420673188	0.4984778048
39	0.5426250439	0.4982851378
40	0.5422180214	0.4980533801
41	0.54315614	0.4974676178
42	0.5437304961	0.497237658
43	0.5436204309	0.4969334553
44	0.5434429802	0.4967777017
45	0.5444694925	0.496176293
46	0.5457142857	0.495325362
47	0.5463267086	0.4950948235
48	0.548924249	0.4946035877
49	0.5495299805	0.4942436369
50	0.5485029273	0.4938560919
51	0.5496222878	0.4932023778
52	0.550595404	0.4919743535
53	0.550569847	0.49174302
54	0.5518600457	0.4911660127
55	0.5527537416	0.4906714262
56	0.5519820633	0.4904420683
57	0.5526480041	0.4898360905
58	0.5530686727	0.489564636
59	0.5532865883	0.4893881109
60	0.5534348656	0.4891122524
61	0.5533557047	0.4888998743
62	0.5555731167	0.4882076634
63	0.5566027214	0.4876344585
64	0.5574111571	0.4873112588
65	0.5573779627	0.4869965076
66	0.5596235957	0.4864060613
67	0.5596960289	0.4861424193
68	0.5598702803	0.4857471131
69	0.5603329996	0.4853154498
70	0.5612631384	0.4849681271
71	0.561296784	0.4847048275
72	0.5617835813	0.4843797279
73	0.5619192462	0.4842091291
74	0.5627573925	0.4837679696
75	0.5631986641	0.4835319395
76	0.5633747948	0.4832838596
77	0.5642212879	0.4828204185
78	0.5658936233	0.482313586
79	0.5662753074	0.4819463286
80	0.5692877682	0.4807778547
81	0.5691844796	0.4805545403
82	0.5695718796	0.4803738515
83	0.5697669051	0.4802558753
84	0.570059637	0.4799865073
85	0.5695739015	0.4798190006
86	0.5697735748	0.4794729304
87	0.5700434823	0.4793346405
88	0.5703236312	0.4790047589
89	0.5702203263	0.4787790037
90	0.5703634497	0.478669979
91	0.5705112191	0.4785349384
92	0.5706696284	0.478297832
93	0.5727506142	0.4775733981
94	0.5731224201	0.4774568266
95	0.5745761618	0.4767544464
96	0.5748373702	0.4765098846
97	0.5747194384	0.4764078173
98	0.5750778068	0.4762972874
99	0.575271398	0.4760660822
100	0.5754206453	0.4758971646
101	0.5755939026	0.47568585
102	0.5760813404	0.4753971977
103	0.5768560763	0.475119464
104	0.5777466812	0.4747297408
105	0.5787640067	0.4743847221
106	0.5787623972	0.4742159835
107	0.5788165092	0.4740936973
108	0.5790589233	0.473734935
109	0.5790758741	0.4736090908
110	0.5793533049	0.4734367786
111	0.5795948435	0.4731926108
112	0.5795437795	0.4728687281
113	0.5800458483	0.4726547161
114	0.5798025788	0.4725222721
115	0.5805114411	0.4720679245
116	0.5815918431	0.4716093168
117	0.5817556571	0.4715090533
118	0.5820345186	0.4714099471
119	0.5821204292	0.4712329592
120	0.5822181755	0.4710715059
121	0.582271728	0.4708596983
122	0.5825699886	0.4706506313
123	0.5830873767	0.4702913406
124	0.5833180096	0.4701796616
125	0.5836886994	0.4700744576
126	0.5840686837	0.4696249473
127	0.5842502618	0.4695267727
128	0.5843551098	0.4693809524
129	0.5844469549	0.4692368224
130	0.5846190581	0.4690282861
131	0.5846492839	0.4689514529
132	0.5848201175	0.4687648714
133	0.584756428	0.4685562697
134	0.5848754939	0.4684285322
135	0.5849139832	0.4682843352
136	0.5851103904	0.4680720739
137	0.5854572507	0.4678414391
138	0.5855419694	0.4677541004
139	0.5859014646	0.4676177549
140	0.5861064395	0.4675310672
141	0.5866860262	0.4672578153
142	0.5866622526	0.4669774127
143	0.5870356749	0.466922479
144	0.5870920291	0.4667472162
145	0.5874222275	0.4666005386
